"Date","Movement","Anger","Anticipation","Disgust","Fear","Joy","Sadness","Surprise","Trust","Negative","Positive"
"2008-02-07",0,6,10,3,9,5,5,2,9,10,12
"2008-02-08",1,10,2,2,14,3,7,5,7,15,11
"2008-02-11",0,13,6,4,15,5,12,5,9,16,12
"2008-02-12",0,8,6,3,8,3,4,4,7,13,10
"2008-02-13",0,6,7,5,11,6,7,4,10,15,11
"2008-02-14",1,8,8,3,13,4,6,3,12,20,18
"2008-02-15",1,6,7,3,11,4,9,3,4,14,13
"2008-02-19",1,8,11,7,16,5,8,2,12,23,19
"2008-02-20",0,7,6,7,16,3,4,5,8,14,12
"2008-02-21",1,9,4,2,12,6,10,1,10,16,18
"2008-02-22",0,7,9,6,12,2,6,3,8,19,12
"2008-02-25",0,8,6,5,8,0,8,3,7,15,12
"2008-02-26",0,9,5,3,15,3,9,5,5,20,11
"2008-02-27",0,11,6,3,19,3,14,2,10,23,9
"2008-02-28",1,14,7,9,18,5,10,3,17,22,20
"2008-02-29",1,10,10,5,15,7,9,5,10,16,16
"2008-03-03",1,9,6,3,8,7,8,3,9,19,14
"2008-03-04",1,13,4,5,15,2,6,2,6,20,8
"2008-03-05",0,13,11,6,12,8,8,5,13,17,16
"2008-03-06",1,15,7,7,20,4,15,6,13,30,9
"2008-03-07",1,11,12,5,17,5,13,6,14,21,15
"2008-03-10",1,9,7,8,12,6,8,1,13,18,24
"2008-03-11",0,9,9,3,13,6,3,3,14,11,18
"2008-03-12",1,10,5,1,13,7,6,2,13,17,15
"2008-03-13",0,6,10,5,11,3,8,2,16,16,18
"2008-03-14",1,11,8,5,10,5,11,6,8,14,11
"2008-03-17",0,11,5,5,15,5,13,4,9,26,11
"2008-03-18",0,12,8,6,18,5,10,6,4,22,7
"2008-03-19",1,11,6,10,17,5,12,4,6,23,11
"2008-03-20",0,6,9,3,15,7,7,5,9,14,10
"2008-03-24",0,14,7,7,18,6,14,6,12,24,17
"2008-03-25",1,6,6,3,15,2,6,4,8,11,10
"2008-03-26",1,9,13,7,23,7,10,6,11,27,13
"2008-03-27",1,12,10,5,14,5,9,4,11,23,12
"2008-03-28",1,10,5,5,12,5,6,2,10,17,8
"2008-03-31",0,15,7,3,14,5,11,5,13,25,15
"2008-04-01",0,5,9,4,12,6,8,5,12,12,14
"2008-04-02",1,4,9,2,8,2,5,1,12,11,19
"2008-04-03",0,5,8,5,12,5,3,3,7,17,10
"2008-04-04",1,8,8,5,16,8,8,6,16,19,12
"2008-04-07",1,6,6,1,10,5,3,4,12,10,13
"2008-04-08",1,7,5,0,8,3,8,1,12,14,15
"2008-04-09",1,14,5,7,17,7,10,3,10,23,13
"2008-04-10",0,13,4,5,13,4,10,4,11,19,13
"2008-04-11",1,8,11,3,7,7,6,7,10,18,16
"2008-04-14",1,14,11,6,21,10,10,1,15,22,22
"2008-04-15",0,12,6,12,16,4,11,1,9,21,12
"2008-04-16",0,16,7,6,20,3,11,3,8,21,13
"2008-04-17",0,9,7,1,11,4,7,2,14,16,15
"2008-04-18",0,10,9,3,10,4,8,0,13,17,19
"2008-04-21",1,10,14,4,14,11,9,7,21,19,31
"2008-04-22",1,14,15,4,19,8,12,10,18,25,22
"2008-04-23",0,14,17,6,19,8,9,5,17,21,17
"2008-04-24",0,14,5,6,16,5,10,1,20,24,19
"2008-04-25",0,13,13,4,20,7,9,5,13,28,16
"2008-04-28",1,11,6,5,14,6,8,5,13,20,20
"2008-04-29",1,8,7,5,7,6,7,7,12,17,13
"2008-04-30",1,9,8,6,15,5,7,4,14,20,23
"2008-05-01",0,10,15,4,15,7,5,5,13,22,17
"2008-05-02",0,9,8,10,13,4,8,4,14,24,20
"2008-05-05",1,18,10,9,21,7,12,4,17,24,21
"2008-05-06",0,11,5,7,22,5,9,5,15,22,20
"2008-05-07",1,16,3,7,25,3,16,6,8,30,12
"2008-05-08",0,12,14,4,20,7,11,5,14,23,19
"2008-05-09",1,15,11,10,25,7,14,6,15,26,17
"2008-05-12",0,18,11,6,21,9,13,11,13,24,20
"2008-05-13",1,11,11,6,17,6,8,7,10,22,17
"2008-05-14",0,6,10,5,17,6,8,4,14,19,18
"2008-05-15",0,12,9,4,18,6,11,8,16,27,14
"2008-05-16",1,14,10,5,16,6,15,4,20,30,23
"2008-05-19",0,13,9,6,19,4,11,3,16,22,18
"2008-05-20",1,20,8,7,25,5,19,7,11,30,12
"2008-05-21",1,16,11,5,18,5,12,5,12,26,20
"2008-05-22",0,18,9,11,23,4,20,7,5,30,12
"2008-05-23",1,10,7,5,12,6,8,5,15,23,24
"2008-05-27",0,12,6,6,23,5,14,3,11,26,24
"2008-05-28",0,10,10,8,15,4,10,8,18,21,19
"2008-05-29",0,10,5,3,13,3,6,4,9,17,16
"2008-05-30",1,6,7,5,12,5,6,2,14,19,13
"2008-06-02",1,9,7,6,14,9,4,7,11,23,21
"2008-06-03",1,14,9,11,20,6,9,4,17,25,19
"2008-06-04",1,10,7,4,13,5,6,6,12,17,17
"2008-06-05",0,12,7,5,9,6,7,1,14,21,19
"2008-06-06",1,16,14,6,19,14,11,5,17,30,29
"2008-06-09",0,12,11,6,18,6,9,5,13,24,17
"2008-06-10",0,9,9,7,13,4,8,4,11,19,12
"2008-06-11",1,11,7,6,12,9,8,2,21,21,24
"2008-06-12",0,16,9,8,21,2,9,4,12,27,13
"2008-06-13",0,15,15,6,20,8,10,6,20,28,22
"2008-06-16",1,11,6,6,14,6,8,2,16,23,15
"2008-06-17",1,8,5,4,9,5,5,1,12,14,11
"2008-06-18",1,14,10,7,15,5,15,4,12,24,20
"2008-06-19",0,16,8,10,19,4,14,8,13,24,12
"2008-06-20",1,7,4,3,14,2,9,3,14,18,12
